Biosample,Note,ID.Processing,ID.Cohort,ID.Individual,Tissue,Quant.18s,Quant.18s SD,Quant.Kulesh,Quant.Kulesh SD,
RA1082_WholeBlood-D0,D0,A0297,D000,RA1082,Whole blood,8.21E+09,2.89E+09,2.21E-01,-,
RA1819_WholeBlood-BL,Baseline,A0298,D-28,RA1819,Whole blood,3.85E+06,1.90E+04,1.63E+00,-,
RA1819_WholeBlood-BL,Baseline,A0299,D-14,RA1819,Whole blood,1.04E+06,4.18E+04,4.89E-01,3.18E-01,
RA1819_WholeBlood-D0,D0,A0300,D000,RA1819,Whole blood,7.32E+06,1.11E+05,6.69E-01,2.86E-01,
RA1856_WholeBlood-BL,Baseline,A0301,D-28,RA1856,Whole blood,2.48E+06,1.17E+05,5.78E-01,3.13E-01,
RA1856_WholeBlood-BL,Baseline,A0302,D-14,RA1856,Whole blood,2.20E+05,6.14E+03,9.98E-01,-,
RA1856_WholeBlood-D0,D0,A0303,D000,RA1856,Whole blood,4.52E+06,7.49E+04,3.07E-01,1.97E-01,
RA0700_WholeBlood-BL,Baseline,A0304,D-30,RA0700,Whole blood,1.92E+09,4.64E+08,9.88E-01,4.10E-01,
RA0700_WholeBlood-BL,Baseline,A0305,D-04,RA0700,Whole blood,2.67E+07,9.25E+06,3.38E+00,4.33E+00,
RA0700_WholeBlood-D7-NEC,D7/NEC,A0306,D007,RA0700,Whole blood,1.32E+10,1.14E+10,1.40E+06,4.90E+04,
RA1818_WholeBlood-BL,Baseline,A0307,D-30,RA1818,Whole blood,3.63E+07,1.22E+05,-,-,
RA1818_WholeBlood-BL,Baseline,A0308,D-04,RA1818,Whole blood,1.31E+08,1.13E+06,-,-,
RA1818_WholeBlood-D6-NEC,D6/NEC,A0309,D006,RA1818,Whole blood,1.48E+09,7.31E+08,1.71E+06,6.77E+04,
RA1779_WholeBlood-BL,Baseline,A0310,D-30,RA1779,Whole blood,3.17E+07,1.18E+05,8.47E-01,-,
RA1779_WholeBlood-BL,Baseline,A0311,D-04,RA1779,Whole blood,5.43E+06,9.34E+04,-,-,
RA1779_WholeBlood-D8-NEC,D8/NEC,A0312,D008,RA1779,Whole blood,5.36E+07,5.23E+05,3.40E+04,8.29E+03,
RA1790_WholeBlood-BL,Baseline,A0313,D-30,RA1790,Whole blood,3.80E+06,5.79E+04,1.55E+01,-,
RA1790_WholeBlood-BL,Baseline,A0314,D-04,RA1790,Whole blood,2.00E+06,1.84E+04,-,-,
RA1790_WholeBlood-D8-NEC,D8/NEC,A0315,D007,RA1790,Whole blood,1.35E+07,3.34E+04,5.44E+04,8.55E+03,
RA0917_WholeBlood-BL,Baseline,A0316,D-30,RA0917,Whole blood,5.90E+06,1.07E+04,-,-,
RA0917_WholeBlood-BL,Baseline,A0317,D-04,RA0917,Whole blood,5.17E+06,4.95E+04,1.83E+00,-,
RA0917_WholeBlood-D6-NEC,D6/NEC,A0318,D006,RA0917,Whole blood,5.55E+06,4.23E+04,2.34E+05,1.19E+05,
RA1423_WholeBlood-BL,Baseline,A0319,D-30,RA1423,Whole blood,8.31E+06,1.44E+05,-,-,
RA1423_WholeBlood-BL,Baseline,A0320,D-04,RA1423,Whole blood,5.47E+06,5.61E+04,4.37E-01,-,
RA1423_WholeBlood-D8-NEC,D8/NEC,A0321,D008,RA1423,Whole blood,3.66E+08,3.20E+06,2.54E+05,1.97E+04,
RA0223_WholeBlood-BL,Baseline,A0322,D-30,RA0223,Whole blood,1.06E+07,1.66E+05,1.47E+00,-,
RA0223_WholeBlood-BL,Baseline,A0323,D000,RA0223,Whole blood,6.32E+07,3.97E+05,9.15E-01,-,
RA0223_WholeBlood-D1,D1,A0324,D001,RA0223,Whole blood,1.92E+07,1.16E+05,5.16E-01,-,
RA0223_WholeBlood-D3,D3,A0325,D003,RA0223,Whole blood,5.25E+07,3.94E+05,2.61E+00,1.21E+00,
RA0449_WholeBlood-BL,Baseline,A0326,D-30,RA0449,Whole blood,5.75E+06,1.73E+05,9.42E-01,-,
RA0449_WholeBlood-BL,Baseline,A0327,D000,RA0449,Whole blood,4.87E+04,1.59E+03,6.68E-01,4.37E-01,
RA0449_WholeBlood-D1,D1,A0328,D001,RA0449,Whole blood,1.55E+05,1.14E+03,-,-,
RA0449_WholeBlood-D3,D3,A0329,D003,RA0449,Whole blood,1.41E+06,5.94E+03,1.66E+01,6.58E-01,
RA1834_WholeBlood-BL,Baseline,A0330,D-30,RA1834,Whole blood,4.17E+06,4.71E+04,8.63E-01,1.23E-01,
RA1834_WholeBlood-BL,Baseline,A0331,D000,RA1834,Whole blood,2.09E+06,3.45E+05,8.97E-01,1.15E+00,
RA1834_WholeBlood-D1,D1,A0332,D001,RA1834,Whole blood,2.91E+06,4.75E+05,9.82E-01,2.81E-01,
RA1834_WholeBlood-D3,D3,A0333,D003,RA1834,Whole blood,7.22E+06,3.85E+06,5.17E-01,3.35E-01,
RA0452_WholeBlood-BL,Baseline,A0334,D-30,RA0452,Whole blood,3.32E+07,5.67E+05,5.77E-01,6.04E-01,
RA0452_WholeBlood-BL,Baseline,A0335,D000,RA0452,Whole blood,2.43E+07,2.77E+06,8.90E-02,7.00E-03,
RA0452_WholeBlood-D1,D1,A0336,D001,RA0452,Whole blood,1.51E+08,7.84E+06,7.75E-01,3.26E-01,
RA0452_WholeBlood-D3,D3,A0337,D003,RA0452,Whole blood,1.88E+08,1.52E+07,9.06E+00,5.24E+00,
RA0452_WholeBlood-D5,D5,A0338,D005,RA0452,Whole blood,4.15E+07,7.89E+06,2.15E+03,7.04E+02,
RA0522_WholeBlood-BL,Baseline,A0339,D-30,RA0522,Whole blood,1.88E+06,5.98E+05,4.27E-01,2.70E-02,
RA0522_WholeBlood-BL,Baseline,A0340,D000,RA0522,Whole blood,3.73E+06,3.14E+05,1.26E+00,5.19E-01,
RA0522_WholeBlood-D1,D1,A0341,D001,RA0522,Whole blood,7.87E+06,1.29E+06,2.15E-01,3.00E-03,
RA0522_WholeBlood-D3,D3,A0342,D003,RA0522,Whole blood,1.05E+08,8.28E+06,4.18E-01,6.80E-02,
RA0522_WholeBlood-D5,D5,A0343,D005,RA0522,Whole blood,2.80E+07,4.68E+06,-,-,remove
RA1639_WholeBlood-BL,Baseline,A0344,D-30,RA1639,Whole blood,1.74E+08,1.63E+07,8.58E+00,1.92E+00,remove
RA1639_WholeBlood-BL,Baseline,A0345,D000,RA1639,Whole blood,3.29E+08,3.15E+07,9.29E-01,7.14E-01,
RA1639_WholeBlood-D1,D1,A0346,D001,RA1639,Whole blood,3.87E+07,3.88E+06,8.23E-01,1.14E-01,
RA1639_WholeBlood-D3,D3,A0347,D003,RA1639,Whole blood,3.50E+06,1.44E+05,1.66E+00,4.37E-01,
RA1639_WholeBlood-D5,D5,A0348,D005,RA1639,Whole blood,2.15E+06,1.35E+05,8.60E+04,2.42E+04,
RA0717_WholeBlood-BL,Baseline,A0349,D-30,RA0717,Whole blood,4.64E+06,1.97E+05,5.85E-01,-,
RA0717_WholeBlood-BL,Baseline,A0350,D-14,RA0717,Whole blood,7.53E+07,4.10E+06,7.64E-01,4.21E-01,
RA0717_WholeBlood-D2,D2,A0351,D002,RA0717,Whole blood,2.69E+07,2.63E+06,-,-,
RA0717_WholeBlood-D4,D4,A0352,D004,RA0717,Whole blood,2.76E+08,2.24E+07,3.50E+03,7.85E+02,
RA0850_WholeBlood-BL,Baseline,A0353,D-30,RA0850,Whole blood,1.59E+08,4.61E+07,1.73E+00,1.02E+00,
RA0850_WholeBlood-BL,Baseline,A0354,D-14,RA0850,Whole blood,1.10E+07,9.21E+05,3.71E+00,2.77E+00,
RA0850_WholeBlood-D2,D2,A0355,D002,RA0850,Whole blood,3.78E+05,1.87E+05,2.50E+00,1.41E+00,
RA0850_WholeBlood-D4,D4,A0356,D004,RA0850,Whole blood,5.48E+06,2.42E+05,1.33E+01,2.41E+00,
RA1849_WholeBlood-BL,Baseline,A0357,D-30,RA1849,Whole blood,5.13E+06,1.34E+06,4.19E+00,1.55E+00,
RA1849_WholeBlood-BL,Baseline,A0358,D-14,RA1849,Whole blood,2.98E+06,1.19E+05,2.25E+00,1.15E+00,
RA1849_WholeBlood-D2,D2,A0359,D002,RA1849,Whole blood,2.81E+06,3.74E+05,-,-,
RA1849_WholeBlood-D4,D4,A0360,D004,RA1849,Whole blood,1.48E+07,5.10E+05,3.69E+01,3.03E+00,
RA1074_WholeBlood-BL,Baseline,A0361,D-30,RA1074,Whole blood,9.68E+06,6.57E+05,3.11E+00,1.56E+00,
RA1074_WholeBlood-BL,Baseline,A0362,D-14,RA1074,Whole blood,4.74E+06,4.65E+05,3.29E+00,1.77E+00,
RA1074_WholeBlood-D2,D2,A0363,D002,RA1074,Whole blood,2.50E+06,3.02E+05,2.80E+00,1.69E+00,
RA1074_WholeBlood-D4,D4,A0364,D004,RA1074,Whole blood,9.06E+05,7.67E+04,1.13E+02,1.02E+01,
RA1074_WholeBlood-D6,D6,A0365,D006,RA1074,Whole blood,1.24E+06,4.85E+04,2.10E+05,4.74E+03,
RA1325_WholeBlood-BL,Baseline,A0366,D-30,RA1325,Whole blood,8.72E+05,5.53E+04,2.98E+00,1.10E+00,
RA1325_WholeBlood-BL,Baseline,A0367,D-14,RA1325,Whole blood,1.97E+06,2.73E+05,5.88E+00,6.20E+00,
RA1325_WholeBlood-D2,D2,A0368,D002,RA1325,Whole blood,4.28E+06,4.31E+05,1.79E+00,8.17E-01,
RA1325_WholeBlood-D4,D4,A0369,D004,RA1325,Whole blood,6.64E+05,1.19E+05,1.86E+02,3.64E+01,
RA1325_WholeBlood-D6,D6,A0370,D006,RA1325,Whole blood,4.23E+06,2.40E+06,4.11E+03,2.78E+03,
RA1803_WholeBlood-BL,Baseline,A0371,D-30,RA1803,Whole blood,4.34E+06,1.70E+06,4.82E+00,1.84E+00,
RA1803_WholeBlood-BL,Baseline,A0372,D-14,RA1803,Whole blood,5.83E+06,1.94E+06,4.51E+00,2.20E+00,
RA1803_WholeBlood-D2,D2,A0373,D002,RA1803,Whole blood,5.33E+06,1.32E+06,5.07E+00,2.33E+00,
RA1803_WholeBlood-D4,D4,A0374,D004,RA1803,Whole blood,3.69E+06,6.69E+05,2.43E+02,1.62E+02,
RA1803_WholeBlood-D6,D6,A0375,D006,RA1803,Whole blood,2.40E+06,7.31E+05,4.36E+04,4.00E+04,
RA1082_CSF-BL,Baseline,A0376,,RA1082,CSF,1.51E+02,6.81E+00,2.43E+00,1.37E+00,
RA1082_CSF-D0-NEC,D0,A0377,D000,RA1082,CSF,1.07E+02,9.76E+00,2.78E+00,1.70E+00,
RA1819_CSF-BL,N/A,A0378,,RA1819,CSF,,,,,
RA1819_CSF-D0,D0,A0379,D000,RA1819,CSF,6.18E+02,1.67E+01,4.02E+00,3.25E+00,
RA1856_CSF-BL,Baseline,A0380,,RA1856,CSF,2.30E+02,5.54E+01,1.99E+00,3.41E-01,
RA1856_CSF-D0,D0,A0381,D000,RA1856,CSF,4.56E+02,5.05E+01,2.16E+00,1.23E+00,
RA0700_CSF-BL,Baseline,A0382,,RA0700,CSF,1.32E+02,9.26E+00,3.02E+00,1.48E+00,
RA0700_CSF-D7-NEC,D7,A0383,D007,RA0700,CSF,3.56E+02,1.29E+02,5.49E+01,3.37E+00,
RA1818_CSF-BL,Baseline,A0384,,RA1818,CSF,1.17E+03,9.08E+01,2.31E+00,1.38E+00,
RA1818_CSF-D6-NEC,D6,A0385,D006,RA1818,CSF,5.45E+02,1.33E+01,3.84E+03,3.59E+02,
RA1779_CSF-BL,Baseline,A0386,,RA1779,CSF,8.38E+01,1.11E+01,2.71E+00,1.79E+00,
RA1779_CSF-D8-NEC,D8,A0387,D008,RA1779,CSF,1.06E+03,3.47E+01,1.45E+02,8.09E+00,
RA1790_CSF-BL,Baseline,A0388,,RA1790,CSF,1.09E+02,4.64E+00,4.16E+00,1.49E+00,
RA1790_CSF-D7-NEC,D7,A0389,D007,RA1790,CSF,1.49E+02,1.49E+01,3.81E+00,4.12E-01,
RA0917_CSF-BL,Baseline,A0390,,RA0917,CSF,2.30E+02,7.03E+00,1.90E+00,7.75E-01,
RA0917_CSF-D6-NEC,D6,A0391,D006,RA0917,CSF,6.40E+03,1.63E+02,1.19E+02,6.87E+01,
RA1423_CSF-BL,Baseline,A0392,,RA1423,CSF,2.06E+02,8.18E+00,2.82E+00,1.78E+00,
RA1423_CSF-D8-NEC,D8,A0393,D008,RA1423,CSF,1.03E+04,2.98E+02,2.60E+03,5.86E+01,
RA0223_CSF-BL,Baseline,A0394,,RA0223,CSF,1.23E+02,1.22E+01,2.08E+00,2.02E+00,
RA0223_CSF-D3,D3,A0395,D003,RA0223,CSF,2.60E+03,4.97E+03,2.34E+00,2.48E+00,
RA0449_CSF-BL,Baseline,A0396,,RA0449,CSF,8.10E+03,1.62E+02,2.09E+00,7.42E-01,
RA0449_CSF-D3,D3,A0397,D003,RA0449,CSF,2.58E+02,1.04E+01,4.91E+00,2.07E+00,
RA1834_CSF-BL,Baseline,A0398,,RA1834,CSF,1.44E+02,5.15E+01,2.29E+00,1.31E+00,
RA1834_CSF-D3,D3,A0399,D003,RA1834,CSF,3.24E+02,1.33E+00,2.22E+00,9.38E-01,
RA0452_CSF-BL,Baseline,A0400,,RA0452,CSF,3.31E+02,2.88E+01,3.19E+00,2.38E+00,
RA0452_CSF-D5,D5,A0401,D005,RA0452,CSF,1.47E+05,2.73E+03,1.12E+02,8.77E+00,
RA0522_CSF-BL,Baseline,A0402,,RA0522,CSF,1.42E+02,8.63E+00,2.34E+00,1.40E+00,
RA0522_CSF-D5,D5,A0403,D005,RA0522,CSF,1.64E+02,1.03E+01,1.40E+00,2.78E-01,
RA1639_CSF-BL,Baseline,A0404,,RA1639,CSF,6.29E+02,3.37E+01,3.58E+00,2.20E+00,
RA1639_CSF-D5,D5,A0405,D005,RA1639,CSF,1.33E+03,5.02E+01,1.46E+00,5.83E-01,
RA0717_CSF-BL,Baseline,A0406,,RA0717,CSF,1.28E+02,4.86E+00,1.32E+00,8.36E-01,
RA0717_CSF-D4,D4,A0407,D004,RA0717,CSF,3.44E+02,2.14E+01,3.35E+00,1.22E+00,
RA0850_CSF-BL,Baseline,A0408,,RA0850,CSF,2.46E+02,2.11E+01,2.71E+00,1.18E+00,
RA0850_CSF-D4,D4,A0409,D004,RA0850,CSF,2.47E+02,2.11E+01,2.25E+00,6.49E-01,
RA1849_CSF-BL,Baseline,A0410,,RA1849,CSF,6.59E+01,8.30E+00,2.79E+00,2.08E+00,
RA1849_CSF-D4,D4,A0411,D004,RA1849,CSF,5.81E+02,2.42E+01,3.36E+00,1.90E+00,
RA1074_CSF-BL,Baseline,A0412,,RA1074,CSF,7.76E+01,4.69E+00,1.52E+00,6.96E-01,
RA1074_CSF-D6,D6,A0413,D006,RA1074,CSF,8.27E+02,9.92E+01,3.62E+00,1.67E+00,
RA1325_CSF-BL,Baseline,A0414,,RA1325,CSF,9.46E+02,9.62E+01,3.36E+00,1.28E+00,
RA1325_CSF-D6,D6,A0415,D006,RA1325,CSF,9.00E+02,2.72E+01,1.79E+00,1.22E+00,
RA1803_CSF-BL,Baseline,A0416,,RA1803,CSF,1.97E+02,3.46E+01,5.15E+00,2.55E+00,
RA1803_CSF-D6,D6,A0417,D006,RA1803,CSF,4.59E+03,1.12E+02,3.56E+01,5.67E+00,
RA1082_Serum-D0-NEC,D0,A0418,D000,RA1082,Serum,1.72E+02,2.86E+01,2.11E+00,1.64E+00,
RA1819_Serum-D0,D0,A0419,D000,RA1819,Serum,3.13E+03,1.23E+02,1.58E+00,1.27E+00,
RA1856_Serum-D0,D0,A0420,D000,RA1856,Serum,1.07E+02,5.44E+00,2.98E+00,1.23E+00,
RA0700_Serum-D7-NEC,D7,A0421,D007,RA0700,Serum,1.72E+05,2.97E+04,2.19E+05,1.62E+04,
RA1818_Serum-D6-NEC,D6,A0422,D006,RA1818,Serum,4.63E+04,7.06E+03,1.21E+05,1.69E+04,
RA1779_Serum-D8-NEC,D8,A0423,D008,RA1779,Serum,1.71E+04,2.03E+03,8.90E+03,6.52E+02,
RA1790_Serum-D7-NEC,D7,A0424,D007,RA1790,Serum,4.06E+01,6.12E+00,5.34E+03,7.87E+02,
RA0917_Serum-D6-NEC,D6,A0425,D006,RA0917,Serum,4.78E+04,5.62E+04,1.91E+04,1.18E+03,
RA1423_Serum-D8-NEC,D8,A0426,D008,RA1423,Serum,1.79E+05,2.02E+05,2.21E+05,2.20E+04,
RA0223_Serum-D3,D3,A0427,D003,RA0223,Serum,3.23E+02,2.47E+02,3.56E+00,1.25E+00,
RA0449_Serum-D3,D3,A0428,D003,RA0449,Serum,1.09E+02,7.12E+01,2.69E+00,1.19E+00,
RA1834_Serum-D3,D3,A0429,D003,RA1834,Serum,1.89E+02,1.20E+02,1.69E+00,3.53E-01,
RA0452_Serum-D5,D5,A0430,D005,RA0452,Serum,8.19E+03,4.26E+03,1.41E+03,8.07E+01,
RA0522_Serum-D5,D5,A0431,D005,RA0522,Serum,6.44E+03,5.39E+03,5.03E+00,2.33E+00,
RA1639_Serum-D5,D5,A0432,D005,RA1639,Serum,1.63E+05,2.29E+05,1.44E+05,8.97E+03,
RA0717_Serum-D4,D4,A0433,D004,RA0717,Serum,2.53E+04,9.29E+02,8.99E+02,5.08E+02,
RA0850_Serum-D4,D4,A0434,D004,RA0850,Serum,4.36E+02,6.08E+01,8.20E+00,4.11E+00,
RA1849_Serum-D4,D4,A0435,D004,RA1849,Serum,1.50E+03,1.02E+02,5.30E+00,1.25E+00,
RA1074_Serum-D6,D6,A0436,D006,RA1074,Serum,5.83E+04,2.73E+03,1.78E+06,3.28E+04,
RA1325_Serum-D6,D6,A0437,D006,RA1325,Serum,7.32E+03,2.65E+03,2.66E+03,1.01E+02,
RA1803_Serum-D6,D6,A0438,D006,RA1803,Serum,1.13E+05,1.02E+04,1.71E+05,1.39E+04,